Title,TitleUrl,ImgSrc
苹果将允许开发者研发同时适用于iPhone、iPad和Mac的通用应用程序,https://www.cnbeta.com/articles/tech/820159.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/6830d9d43b72615.jpg
Valve宣布下线Steam视频板块：逐渐剥离非游戏业务,https://hot.cnbeta.com/articles/game/820165,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/b9d15ff00d910c7.jpg
乐视网公告：存在股票被暂停上市风险,https://hot.cnbeta.com/articles/movie/820163,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/6468c3ffbfa4c7b.png
腾讯运动手表双十二促销，最高省800！,https://detail.tmall.com/item.htm?spm=a1z09.8149145.0.0.6f471f535EK1qG&id=578105411932&skuId=4087402743592,https://static.cnbetacdn.com/article/2018/0718/84ad04a301d0375.jpg
传滴滴外卖和顺风车开启裁员 官方未予置评,https://www.cnbeta.com/articles/tech/820161.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/0d670321d1618f0.png
大众点评将被放弃？美团:不存在合并进美团App可能性,https://www.cnbeta.com/articles/tech/820157.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/94310837eb04965.png
鸡蛋也开始人造了？这家创企正寻求2亿美元融资,https://www.cnbeta.com/articles/tech/820155.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/e6ea3657a9f4da3.jpg
高通敦促美监管机构推翻裁决 禁止进口部分iPhone,https://www.cnbeta.com/articles/tech/820153.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/4b31bf10e69bba2.jpg
部分用户路由器被黑客攻击 或造成访问延迟或失败,https://www.cnbeta.com/articles/tech/820151.htm,https://static.cnbetacdn.com/topics/60c891a73546ac3.png
雷军：拿华为手机学习后信心大增 Mate20和小米9差距太远,https://www.cnbeta.com/articles/tech/820149.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/5bf4fb8bc0b174e.jpg
